a	1	632	201	217	1.0	20415.27	2.89
aardvark	5	0	0	0	2.0	0.41	9.89
abacus	6	0	0	0	3.0	0.24	8.69
abalone	0	0	0	0	3.0	0.51	12.23
abandon	7	510	0	395	3.0	8.10	8.32
abandonment	11	359	272	348	4.0	0.96	10.27
abase	4	0	0	0	2.0	0.06	14.57
abasement	8	226	275	262	4.0	#N/A	15.13
abate	4	0	0	0	2.0	0.10	14.44
abatement	8	294	250	189	4.0	0.06	15.12
abattoir	6	0	0	0	3.0	0.14	15.17
abbacy	5	0	0	0	3.0	0.01	14.50
abbess	4	187	401	318	2.0	0.04	15.43
abbey	3	0	0	0	2.0	3.18	13.06
abbot	4	0	0	0	2.0	0.84	12.10
abbreviate	8	0	0	0	3.0	0.02	9.95
abbreviated	0	0	0	0	4.0	0.31	10.50
abbreviation	10	0	0	0	4.0	0.24	9.11
abdicate	7	0	0	0	3.0	0.18	12.60
abdication	9	284	275	326	4.0	0.12	14.94
abdomen	7	426	586	548	3.0	3.35	8.61
abdominal	8	0	0	0	4.0	3.41	10.24
abduct	6	0	0	0	2.0	0.71	11.26
abduction	8	413	337	463	3.0	3.63	11.94
abductor	7	0	0	0	3.0	0.35	11.11
abeam	4	0	0	0	2.0	0.14	13.40
aberrant	0	0	0	0	3.0	0.29	13.31
aberration	8	208	330	285	4.0	0.55	12.69
abet	4	0	0	0	2.0	0.10	12.15
abettor	5	0	0	0	3.0	0.02	15.55
abeyance	6	0	0	0	2.0	0.04	15.00
abhor	4	360	320	335	2.0	0.24	13.76
abhorrent	0	0	0	0	3.0	0.18	12.14
abide	4	0	0	0	2.0	2.71	9.50
abiding	0	0	0	0	3.0	0.49	10.30
ability	7	563	273	327	4.0	19.22	8.84
abject	6	0	0	0	2.0	0.39	14.00
abjuration	9	0	0	0	4.0	0.01	17.12
abjure	4	0	0	0	2.0	0.02	14.60
ablation	7	0	0	0	3.0	0.02	13.29
ablaze	5	0	0	0	2.0	0.41	10.83
able	3	575	302	284	2.0	159.90	7.79
ablution	7	0	0	0	3.0	0.06	13.64
abnormal	7	0	0	0	3.0	2.90	10.05
abnormality	10	0	0	0	5.0	0.51	11.58
aboard	4	0	0	0	2.0	26.63	8.66
abode	4	334	498	458	2.0	0.65	12.06
abolish	6	0	0	0	3.0	0.47	10.42
abolition	8	0	0	0	4.0	0.20	13.28
abolitionism	12	0	0	0	5.0	0.02	11.78
abolitionist	11	0	0	0	5.0	0.22	12.60
abominable	9	358	0	387	5.0	0.63	8.94
abominate	8	0	0	0	4.0	0.06	15.00
abomination	10	0	0	0	5.0	1.14	11.17
aboriginal	9	295	335	389	5.0	0.18	14.75
aborigine	0	0	0	0	4.0	0.08	12.56
abort	4	0	0	0	2.0	4.61	12.21
abortion	6	0	0	0	3.0	7.24	13.21
abortionist	0	0	0	0	4.0	0.08	15.00
abortive	6	0	0	0	3.0	0.02	13.93
abound	5	0	0	0	2.0	0.35	11.65
about	4	593	227	225	2.0	3631.49	5.07
above	4	607	0	346	2.0	48.88	4.55
abracadabra	11	0	0	0	5.0	1.04	6.89
abrade	5	0	0	0	2.0	0.02	14.00
abrasion	7	0	0	0	3.0	0.35	11.95
abrasive	7	0	0	0	3.0	0.45	12.22
abreast	6	0	0	0	2.0	0.51	13.06
abridge	5	0	0	0	2.0	0.02	14.35
abridged	0	0	0	0	3.0	0.18	12.56
abridgement	9	303	285	240	4.0	0.02	12.32
abroad	5	0	0	0	2.0	4.90	10.15
abrogate	7	0	0	0	3.0	0.02	15.22
abrupt	6	486	266	362	2.0	1.14	10.95
abruption	0	0	0	0	3.0	0.12	11.82
abruptness	0	0	0	0	3.0	0.08	12.39
abscess	5	392	538	491	2.0	0.49	13.11
abscond	7	0	0	0	2.0	0.10	13.36
absence	6	0	0	0	2.0	6.31	7.70
absent	6	0	0	0	2.0	2.57	6.50
absentee	7	0	0	0	2.0	0.35	11.00
absenteeism	11	0	0	0	3.0	0.10	13.43
absinthe	0	0	0	0	2.0	0.55	16.29
absolute	7	495	0	268	3.0	11.31	8.53
absolutely	9	0	0	0	5.0	113.12	7.08
absoluteness	0	0	0	0	5.0	0.02	12.68
absolution	9	372	241	256	4.0	0.94	11.71
absolve	6	0	0	0	2.0	0.57	12.90
absolver	7	0	0	0	3.0	0.08	13.60
absorb	5	0	0	0	2.0	1.98	8.83
absorbent	0	0	0	0	3.0	0.16	10.32
absorption	8	0	0	0	3.0	0.35	10.94
abstain	6	0	0	0	2.0	0.51	12.95
abstention	9	0	0	0	3.0	0.12	15.19
abstinence	9	0	0	0	3.0	0.88	12.74
abstract	8	0	0	0	2.0	2.18	11.47
abstraction	10	368	0	0	3.0	0.29	13.65
abstruse	7	136	0	225	2.0	0.06	14.60
absurd	5	0	0	0	2.0	9.71	10.50
absurdity	8	0	0	0	4.0	0.63	13.21
abundance	8	448	267	386	3.0	0.88	10.45
abundant	8	524	351	443	3.0	0.57	12.84
abuse	5	450	0	0	2.0	10.25	8.61
abuser	6	0	0	0	3.0	0.31	9.94
abusive	7	0	0	0	3.0	1.63	9.58
abut	4	0	0	0	2.0	0.12	13.11
abutment	8	0	0	0	3.0	0.12	15.33
abysm	6	0	0	0	2.0	0.01	15.25
abysmal	7	0	0	0	3.0	0.41	13.78
abyss	4	293	450	453	2.0	1.76	11.00
abyssal	0	0	0	0	3.0	0.02	17.27
ac	0	0	0	0	1.0	2.16	10.75
acacia	5	0	0	0	3.0	0.16	14.25
academe	0	0	0	0	3.0	0.04	13.27
academic	8	0	0	0	4.0	4.67	9.74
academician	10	0	0	0	5.0	0.02	15.21
academy	7	509	499	504	4.0	12.41	9.05
acanthus	7	0	0	0	3.0	0.02	15.17
accede	5	0	0	0	2.0	0.14	14.31
accelerando	11	0	0	0	5.0	0.01	14.50
accelerate	9	0	0	0	4.0	1.27	10.74
accelerated	0	0	0	0	5.0	0.96	10.11
acceleration	11	499	358	486	5.0	0.86	9.84
accelerator	10	0	0	0	5.0	1.35	10.27
accent	6	0	0	0	2.0	12.18	8.60
accentuate	10	0	0	0	3.0	0.35	13.24
accept	6	0	0	0	2.0	52.78	6.74
acceptable	9	521	0	288	4.0	5.27	9.84
acceptance	9	0	0	0	3.0	3.16	8.56
acceptant	9	0	0	0	3.0	0.02	11.89
access	5	0	0	0	2.0	31.67	9.10
accessibility	12	0	0	0	5.0	0.04	11.05
accessible	8	0	0	0	4.0	1.10	9.94
accession	7	0	0	0	3.0	0.12	12.25
accessory	8	0	0	0	4.0	2.88	11.15
accident	8	564	419	518	3.0	81.29	5.30
accidental	9	0	0	0	4.0	3.00	6.75
acclaim	5	0	0	0	2.0	0.43	12.11
acclamation	9	0	0	0	4.0	0.02	14.00
acclimate	0	0	0	0	3.0	0.16	14.24
acclimatization	13	0	0	0	5.0	0.02	16.12
acclimatize	9	0	0	0	4.0	0.02	14.00
accolade	6	0	0	0	3.0	0.02	12.43
accommodate	0	0	0	0	4.0	2.14	9.90
accommodation	0	533	464	466	5.0	0.94	9.58
accommodative	0	0	0	0	5.0	0.02	15.18
accompaniment	12	0	0	0	5.0	0.29	11.18
accompanist	10	0	0	0	4.0	0.20	12.78
accompany	8	0	0	0	4.0	4.75	10.75
accomplice	8	446	395	391	3.0	4.24	9.78
accomplish	8	0	0	0	3.0	5.84	7.84
accomplishment	12	0	0	0	4.0	1.88	9.00
accord	4	418	299	248	2.0	1.63	9.65
accordance	7	431	270	237	3.0	1.59	11.75
according	6	0	0	0	3.0	41.86	8.45
accordion	7	394	586	576	3.0	1.31	8.61
accost	5	0	0	0	2.0	0.06	13.37
account	5	523	365	361	2.0	44.71	8.26
accountability	12	0	0	0	5.0	0.47	12.16
accountable	8	0	0	0	4.0	1.41	11.70
accountancy	9	0	0	0	4.0	0.06	14.80
accountant	8	0	0	0	3.0	6.18	11.67
accounting	0	0	0	0	3.0	4.51	12.05
accoutrement	9	0	0	0	4.0	0.12	13.87
accredited	0	0	0	0	4.0	0.31	13.89
accrete	0	0	0	0	2.0	0.02	14.00
accrual	0	0	0	0	2.0	0.04	15.00
accrue	4	0	0	0	1.0	0.08	14.11
accumulate	10	0	0	0	4.0	0.57	12.30
accumulation	12	451	285	354	5.0	0.25	10.50
accumulative	12	0	0	0	5.0	0.06	12.50
accumulator	11	0	0	0	5.0	0.02	13.94
accuracy	8	0	0	0	4.0	1.49	9.71
accurate	7	566	0	305	3.0	7.84	9.44
accursed	6	0	0	0	3.0	0.65	12.71
accusation	9	0	0	0	4.0	2.80	10.17
accusative	9	0	0	0	4.0	0.01	13.33
accusatory	10	0	0	0	5.0	0.06	11.18
accuse	5	0	0	0	2.0	5.69	9.10
accuser	6	363	424	343	3.0	0.29	11.72
accustom	7	0	0	0	3.0	0.12	12.00
ace	2	0	0	0	1.0	14.73	8.83
acerb	0	0	0	0	2.0	0.01	15.67
acerbic	0	0	0	0	3.0	0.08	16.62
acerbity	7	0	0	0	4.0	0.01	15.75
acetate	6	0	0	0	3.0	0.12	12.85
acetic	6	0	0	0	3.0	0.02	13.75
acetone	6	0	0	0	3.0	0.16	14.05
acetyl	6	0	0	0	3.0	0.04	16.31
acetylene	8	0	0	0	4.0	0.45	16.88
ache	3	523	443	443	1.0	2.49	5.79
achievable	8	0	0	0	4.0	0.04	9.89
achieve	5	0	0	0	2.0	7.33	8.53
achievement	9	0	0	0	4.0	3.49	8.80
acid	4	0	0	0	2.0	9.96	9.60
acidic	0	0	0	0	3.0	0.22	11.21
acidity	7	399	384	432	4.0	0.20	12.78
acidosis	8	0	0	0	4.0	0.16	16.85
acidulous	0	0	0	0	4.0	0.01	15.43
acknowledge	7	503	290	316	3.0	6.14	9.11
acknowledgement	11	0	0	0	5.0	0.41	9.95
acme	4	0	0	0	1.0	1.25	9.54
acne	4	0	0	0	1.0	0.90	11.40
acolyte	6	0	0	0	3.0	0.14	13.77
acorn	4	397	0	0	2.0	0.73	5.95
acoustic	7	0	0	0	3.0	0.96	12.39
acoustics	0	0	0	0	3.0	0.43	11.32
acquaintance	9	0	0	0	3.0	5.35	10.48
acquaintanceship	11	0	0	0	5.0	0.08	14.18
acquiesce	6	0	0	0	2.0	0.06	14.25
acquiescence	8	0	0	0	3.0	0.10	13.61
acquiescent	8	0	0	0	3.0	0.02	14.18
acquire	5	0	0	0	2.0	2.65	9.94
acquisition	9	0	0	0	4.0	1.45	13.63
acquisitive	9	0	0	0	4.0	0.06	14.19
acquisitiveness	0	0	0	0	5.0	0.02	14.38
acquit	5	0	0	0	2.0	0.47	13.22
acquittal	6	0	0	0	3.0	0.73	12.39
acre	3	427	462	464	1.0	1.82	9.80
acreage	6	0	0	0	2.0	0.43	13.13
acrid	5	0	0	0	2.0	0.04	14.07
acrimonious	10	0	0	0	4.0	0.14	16.30
acrimony	8	0	0	0	4.0	0.22	14.75
acrobat	7	431	566	583	3.0	0.59	8.05
acrobatic	9	0	0	0	4.0	0.24	9.38
acrobatics	0	0	0	0	4.0	0.22	9.00
acronym	0	0	0	0	3.0	0.29	11.56
acropolis	9	0	0	0	4.0	0.12	15.40
across	5	0	0	0	2.0	94.14	6.64
acrostic	0	0	0	0	3.0	0.01	14.82
acrylic	0	0	0	0	3.0	0.45	11.56
act	3	566	379	433	1.0	109.12	6.42
actinic	0	0	0	0	3.0	0.02	15.62
actinium	8	0	0	0	3.0	0.01	NA
action	5	0	0	0	2.0	61.08	6.67
actionable	7	0	0	0	4.0	0.25	12.50
activate	7	0	0	0	3.0	4.67	11.11
activation	0	0	0	0	4.0	0.84	9.78
active	5	552	0	436	2.0	11.45	6.53
activist	8	0	0	0	3.0	0.98	11.80
activity	8	0	0	0	4.0	12.88	6.47
actor	4	0	0	0	2.0	26.33	7.17
actress	6	0	0	0	2.0	16.02	6.17
actual	7	589	0	259	2.0	17.33	6.94
actuality	0	361	247	213	4.0	0.47	12.38
actualize	9	0	0	0	3.0	0.04	13.61
actually	0	0	0	0	3.0	322.33	7.33
actuarial	10	0	0	0	3.0	0.18	15.85
actuary	8	0	0	0	3.0	0.14	17.27
actuation	9	0	0	0	3.0	0.02	14.69
acuity	7	0	0	0	3.0	0.27	13.88
acumen	7	149	272	229	3.0	0.14	14.44
acupressure	0	0	0	0	4.0	0.12	14.44
acupuncture	0	0	0	0	4.0	0.73	11.79
acute	5	0	0	0	2.0	2.94	11.60
acuteness	0	0	0	0	4.0	0.02	12.95
ad	2	0	0	0	1.0	13.61	8.22
adage	4	160	373	324	2.0	0.63	16.21
adagio	6	0	0	0	3.0	0.24	12.62
adamant	7	0	0	0	3.0	0.98	14.29
adamantine	9	0	0	0	4.0	0.02	15.91
adapt	5	0	0	0	2.0	2.63	9.00
adaptability	12	0	0	0	5.0	0.14	11.65
adaptable	8	0	0	0	4.0	0.33	9.37
adaptation	9	0	0	0	4.0	1.59	11.39
adapter	6	0	0	0	3.0	0.22	11.79
adaptor	0	0	0	0	3.0	0.08	10.21
add	2	0	0	0	1.0	33.06	5.10
addendum	7	0	0	0	3.0	0.29	15.65
adder	3	361	615	583	2.0	1.43	12.13
addict	5	0	0	0	2.0	5.35	11.17
addiction	7	0	0	0	3.0	3.90	12.11
addictive	0	0	0	0	3.0	1.12	10.33
addition	6	535	339	347	3.0	7.75	5.76
additional	7	489	0	303	4.0	5.88	9.00
additive	0	0	0	0	3.0	0.22	12.28
addle	3	0	0	0	2.0	0.16	13.08
addled	0	0	0	0	2.0	0.22	12.00
address	5	0	0	0	2.0	52.27	5.15
addressee	6	0	0	0	2.0	0.12	9.95
adduce	5	0	0	0	2.0	0.02	13.00
adductor	0	0	0	0	3.0	0.02	14.18
adenoidal	0	0	0	0	4.0	0.02	15.33
adept	5	0	0	0	2.0	0.65	12.50
adequacy	8	0	0	0	4.0	0.02	12.50
adequate	7	485	0	268	3.0	2.59	10.35
adhere	4	0	0	0	2.0	0.57	10.78
adherence	8	375	265	326	3.0	0.18	12.22
adherent	8	0	0	0	3.0	0.06	14.17
adhesion	7	0	0	0	3.0	0.12	13.50
adhesive	7	0	0	0	3.0	0.92	9.17
adiabatic	0	0	0	0	4.0	0.02	18.50
adipose	6	0	0	0	3.0	0.08	15.70
adjacent	7	0	0	0	3.0	1.33	11.05
adjective	7	515	316	394	3.0	0.49	8.60
adjoining	0	0	0	0	3.0	1.12	11.85
adjourn	4	0	0	0	2.0	1.29	12.59
adjournment	8	327	311	305	3.0	0.22	14.26
adjudge	4	0	0	0	2.0	0.02	15.20
adjudicate	8	0	0	0	4.0	0.10	15.25
adjudication	10	0	0	0	5.0	0.18	16.33
adjudicator	9	0	0	0	5.0	0.08	16.47
adjunct	6	0	0	0	2.0	0.14	13.06
adjuration	8	0	0	0	4.0	0.01	16.00
adjure	3	0	0	0	2.0	0.02	13.10
adjust	5	0	0	0	2.0	5.63	8.43
adjustable	0	0	0	0	4.0	0.31	8.95
adjuster	0	0	0	0	3.0	0.39	11.28
adjustment	9	0	0	0	3.0	3.10	9.74
adjutant	7	0	0	0	3.0	0.88	13.91
adjuvant	0	0	0	0	3.0	0.02	14.25
administer	9	0	0	0	4.0	1.67	9.42
administration	13	502	331	413	5.0	7.59	11.11
administrative	13	0	0	0	5.0	1.61	11.50
administrator	12	0	0	0	5.0	1.65	12.22
admirable	8	0	0	0	4.0	2.61	11.42
admiral	7	436	528	543	3.0	16.57	8.72
admiralty	9	0	0	0	4.0	0.67	11.41
admiration	9	0	0	0	4.0	2.10	8.95
admire	5	531	296	390	2.0	14.16	7.42
admirer	7	0	0	0	3.0	2.96	8.78
admissibility	12	0	0	0	5.0	0.08	13.79
admissible	8	0	0	0	4.0	0.73	13.10
admission	7	482	305	389	3.0	3.55	8.84
admit	5	0	0	0	2.0	59.20	7.56
admittance	8	0	0	0	3.0	0.67	10.39
admixture	9	0	0	0	3.0	0.02	14.10
admonish	7	341	269	302	3.0	0.08	13.40
admonition	9	0	0	0	4.0	0.10	13.86
ado	3	0	0	0	2.0	1.51	11.88
adobe	5	0	0	0	2.0	0.47	12.22
adolescence	8	444	267	467	4.0	0.86	10.42
adolescent	8	0	0	0	4.0	1.84	11.05
adopt	5	0	0	0	2.0	4.67	7.83
adopter	0	0	0	0	3.0	0.02	10.16
adoption	7	0	0	0	3.0	4.69	7.79
adoptive	7	0	0	0	3.0	0.59	9.16
adorable	7	0	0	0	4.0	10.53	6.94
adoration	8	0	0	0	4.0	0.59	11.80
adore	3	0	0	0	2.0	7.73	7.95
